session_id,user_id,session_start,session_end,device_type,channel,landing_page,_etl_loaded_at
S001,1,2024-01-15 10:00:00,2024-01-15 10:45:00,desktop,organic_search,/products,2024-06-01 06:00:00
S002,2,2024-01-20 13:30:00,2024-01-20 14:15:00,mobile,paid_search,/sale,2024-06-01 06:00:00
S003,,2024-01-25 09:00:00,2024-01-25 09:05:00,desktop,direct,/,2024-06-01 06:00:00
S004,3,2024-02-01 09:00:00,2024-02-01 09:30:00,desktop,email,/products/103,2024-06-01 06:00:00
S005,4,2024-02-10 15:45:00,2024-02-10 16:10:00,tablet,social,/products/103,2024-06-01 06:00:00
S006,,2024-02-14 08:00:00,2024-02-14 08:02:00,mobile,organic_search,/,2024-06-01 06:00:00
S007,1,2024-02-14 11:00:00,2024-02-14 11:40:00,desktop,direct,/products/104,2024-06-01 06:00:00
S008,7,2024-02-20 12:30:00,2024-02-20 13:15:00,desktop,paid_search,/products/108,2024-06-01 06:00:00
S009,5,2024-03-01 08:00:00,2024-03-01 09:00:00,mobile,email,/sale,2024-06-01 06:00:00
S010,,2024-03-05 14:00:00,2024-03-05 14:03:00,mobile,social,/,2024-06-01 06:00:00
S011,8,2024-03-10 14:30:00,2024-03-10 15:10:00,desktop,organic_search,/products,2024-06-01 06:00:00
S012,10,2024-03-15 09:30:00,2024-03-15 10:15:00,desktop,direct,/products/101,2024-06-01 06:00:00
S013,11,2024-03-22 12:00:00,2024-03-22 12:45:00,tablet,paid_search,/products,2024-06-01 06:00:00
S014,,2024-03-28 16:00:00,2024-03-28 16:01:00,mobile,social,/,2024-06-01 06:00:00
S015,2,2024-04-01 08:30:00,2024-04-01 09:10:00,desktop,email,/products/112,2024-06-01 06:00:00
S016,13,2024-04-05 14:00:00,2024-04-05 14:40:00,mobile,organic_search,/products/109,2024-06-01 06:00:00
S017,14,2024-04-10 10:30:00,2024-04-10 11:15:00,desktop,direct,/products,2024-06-01 06:00:00
S018,15,2024-04-15 16:00:00,2024-04-15 17:00:00,desktop,paid_search,/products/108,2024-06-01 06:00:00
S019,1,2024-04-20 07:30:00,2024-04-20 08:10:00,mobile,organic_search,/products/101,2024-06-01 06:00:00
S020,6,2024-04-25 12:45:00,2024-04-25 13:30:00,desktop,social,/products/107,2024-06-01 06:00:00
S021,,2024-05-01 10:00:00,2024-05-01 10:02:00,mobile,paid_search,/,2024-06-01 06:00:00
S022,12,2024-05-01 09:30:00,2024-05-01 10:10:00,desktop,direct,/products/111,2024-06-01 06:00:00
S023,4,2024-05-05 15:00:00,2024-05-05 15:45:00,tablet,email,/products/108,2024-06-01 06:00:00
S024,7,2024-05-10 08:30:00,2024-05-10 09:15:00,desktop,organic_search,/products/104,2024-06-01 06:00:00
S025,,2024-05-15 11:30:00,2024-05-15 12:10:00,desktop,referral,/products/102,2024-06-01 06:00:00